Date,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth,Utils,Other
07-08-2000,252902.423,272573.7445,187178.5204,245229.2673,617472.1198,222935.3132,232665.1024,768856.7038,68438.02152,93457.34652
08-08-2000,253104.745,276008.1737,189611.8412,245278.3131,619324.5362,216760.0051,238807.4611,765550.62,68896.55626,93532.1124
09-08-2000,250624.3185,274269.3222,188986.1221,248736.7373,621368.3071,214007.153,232885.036,733474.049,68297.15622,93756.58947
10-08-2000,253055.3743,274900.1416,187530.9289,251373.3468,608133.1622,212765.9115,227249.2182,732373.8379,68331.3048,93372.18745
11-08-2000,258293.6206,278391.3734,190156.3619,250493.54,611295.4546,213404.2092,230339.8075,741089.0866,69048.7835,94511.32814
14-08-2000,260618.2632,280033.8825,192742.4885,255378.1641,622604.4206,214983.4004,234992.6717,739014.0371,69621.8884,95475.34368
15-08-2000,259028.4918,276393.442,192607.5687,252415.7774,624347.7129,215950.8257,228694.8681,733767.0375,69823.79188,94520.59025
16-08-2000,256671.3325,278770.4256,193474.3028,257312.6435,627282.1472,214849.4765,224852.7943,736702.1056,69865.68616,93443.05552
17-08-2000,255721.6486,277237.1883,194925.3601,261815.6147,640580.5287,214677.5969,226584.1608,741564.3395,70173.09517,94433.55191
18-08-2000,254698.762,281007.6141,194886.375,258412.0117,641861.6898,213947.6931,228555.443,727697.0864,70081.87015,93904.72402
21-08-2000,255233.6294,280726.6065,194866.8864,260195.0546,645006.812,213198.8761,226544.1551,739776.858,69549.24794,94618.39992
22-08-2000,252911.0034,283758.4538,195315.0802,259492.528,645458.3168,210320.6913,229126.7585,738223.3266,69604.88734,94930.64064
23-08-2000,253062.75,280864.1176,195217.4226,265616.5516,653978.3666,210594.1082,228897.6317,743686.1792,70314.85719,94769.25855
24-08-2000,251949.2739,286790.3505,196193.5098,260490.1522,660060.3654,211415.4252,227226.679,751346.1469,69478.11039,94807.16625
25-08-2000,249001.4673,283262.8291,196958.6645,260985.0835,656232.0153,214290.675,228090.1404,759761.2237,69255.78043,94579.62905
28-08-2000,249922.7728,279863.6752,196722.3141,261768.0387,663384.9443,215426.4156,226174.1832,753531.1817,70100.70095,95326.80812
29-08-2000,248073.3443,277232.9566,196289.525,261689.5083,666635.5305,215081.7333,226015.8613,745619.1043,69757.20752,95298.21008
30-08-2000,244352.2441,276539.8743,196053.9775,258653.91,666235.5492,215404.3559,223913.9137,750540.1904,70085.0664,95288.68026
31-08-2000,242446.2966,272364.1222,196857.7988,259145.3524,679760.1308,216696.7821,220644.7706,757295.0521,70645.74693,96832.35688
01-09-2000,243852.4851,274461.3259,197763.3447,261892.2932,683090.9554,219947.2338,224704.6344,760854.3388,71217.97748,96309.46215
05-09-2000,245486.2968,278852.7071,198475.2928,262573.2131,668541.1181,215438.3155,227535.9128,739702.5882,72172.29837,96425.03351
06-09-2000,243522.4064,279912.3474,198792.8532,268323.5665,648752.301,211883.5833,228832.8675,718842.9752,73615.74434,96781.80613
07-09-2000,244910.4841,281619.8127,196884.4418,267625.9252,663868.2296,210273.2681,228718.451,732860.4132,74086.88511,96607.59888
08-09-2000,245816.6529,279113.3964,193104.2606,265029.9538,642026.9649,210777.9239,233064.1016,736964.4315,75672.34445,97670.28247
11-09-2000,244808.8046,279894.9139,192389.7748,271099.1397,627131.9393,209660.8009,237119.417,733942.8774,77299.29985,98617.68421
12-09-2000,246865.1986,273709.2363,191427.8259,271831.1074,617160.5414,208465.7343,239798.8664,738933.6889,77314.75971,98568.37537
13-09-2000,245828.3647,274366.1385,191293.8264,269574.9092,622221.2579,210842.2437,239319.2687,746101.3457,77206.51905,98381.09545
14-09-2000,242853.8415,276094.6451,189801.7346,268388.7796,627759.0271,209766.9483,237165.3952,745131.414,76256.87887,98302.39058
